q,intensity
1.848241206030150907e-01,1.917506716929389862e+06
1.872864321608040394e-01,1.715532882401344599e+06
1.897487437185929882e-01,1.527806632364724530e+06
1.922110552763819369e-01,1.353712428696613526e+06
1.946733668341708579e-01,1.192984517019214341e+06
1.971356783919598066e-01,1.044955992944984115e+06
1.995979899497487553e-01,9.094410245470694499e+05
2.020603015075377040e-01,7.855695190701173851e+05
2.045226130653266527e-01,6.731591776780234650e+05
2.069849246231156015e-01,5.715062139225103892e+05
2.094472361809045502e-01,4.803168173074664082e+05
2.119095477386934712e-01,3.988215145365578355e+05
2.143718592964824199e-01,3.266122693845586618e+05
2.168341708542713686e-01,2.632097463967796648e+05
2.192964824120603173e-01,2.080217596080795629e+05
2.217587939698492661e-01,1.606376671781983168e+05
2.242211055276382148e-01,1.204156728791774658e+05
2.266834170854271635e-01,8.695679459665913600e+04
2.291457286432160845e-01,5.971285741771788162e+04
2.316080402010050332e-01,3.821831074587842886e+04
2.340703517587939819e-01,2.195144785517840501e+04
2.365326633165829306e-01,1.052124202296303883e+04
2.389949748743718794e-01,3.426419937076614133e+03
2.414572864321608281e-01,2.646581301391533998e+02
2.439195979899497768e-01,5.943819345501364069e+02
2.463819095477386978e-01,4.019218530457037559e+03
2.488442211055276465e-01,1.015833373701379060e+04
2.513065326633165952e-01,1.860999550312498468e+04
2.537688442211055162e-01,2.905416588309823419e+04
2.562311557788944927e-01,4.114010731125902385e+04
2.586934673366834136e-01,5.457781657384008577e+04
2.611557788944723901e-01,6.902103248253512720e+04
2.636180904522613111e-01,8.424258957081229892e+04
2.660804020100502876e-01,9.996279108320435626e+04
2.685427135678392085e-01,1.159440622018901195e+05
2.710050251256281850e-01,1.319505806465568894e+05
2.734673366834171060e-01,1.477852848585490428e+05
2.759296482412060270e-01,1.632830358647042594e+05
2.783919597989950034e-01,1.783040503276285308e+05
2.808542713567839244e-01,1.926497842847429274e+05
2.833165829145729009e-01,2.061976258491292247e+05
2.857788944723618219e-01,2.188744423609076766e+05
2.882412060301507983e-01,2.305171346793757984e+05
2.907035175879397193e-01,2.411127920333923830e+05
2.931658291457286403e-01,2.505633414374070417e+05
2.956281407035176167e-01,2.588461445316630416e+05
2.980904522613065377e-01,2.658894247173101176e+05
3.005527638190955142e-01,2.716982779506389052e+05
3.030150753768844352e-01,2.762234650143237668e+05
3.054773869346734116e-01,2.795496832275145571e+05
3.079396984924623326e-01,2.816671267273630947e+05
3.104020100502512536e-01,2.825560160269704065e+05
3.128643216080402301e-01,2.822231133670524578e+05
3.153266331658291510e-01,2.807163339135247516e+05
3.177889447236181275e-01,2.781639906871410785e+05
3.202512562814070485e-01,2.746387769358960795e+05
3.227135678391960250e-01,2.699796520573346643e+05
3.251758793969849459e-01,2.644741855087943841e+05
3.276381909547738669e-01,2.580625772648435668e+05
3.301005025125628434e-01,2.509416924963653437e+05
3.325628140703517643e-01,2.431045832385415270e+05
3.350251256281407408e-01,2.345891306753034878e+05
3.374874371859296618e-01,2.255194426845630514e+05
3.399497487437186383e-01,2.160107075370601087e+05
3.424120603015075592e-01,2.061041520602456003e+05
3.448743718592964802e-01,1.958232987358070677e+05
3.473366834170854567e-01,1.853512949040984968e+05
3.497989949748743777e-01,1.746993827740303532e+05
3.522613065326633541e-01,1.638808255237530684e+05
3.547236180904522751e-01,1.531494943222597067e+05
3.571859296482412516e-01,1.424063933572974056e+05
3.596482412060301725e-01,1.317623048828820465e+05
3.621105527638190935e-01,1.212696188683905348e+05
3.645728643216080700e-01,1.110236361754759273e+05
3.670351758793969910e-01,1.010333206058562209e+05
3.694974874371859674e-01,9.138525181368441554e+04
3.719597989949748884e-01,8.209423104467299709e+04
3.744221105527638649e-01,7.319250143465326983e+04
3.768844221105527859e-01,6.474522515109714732e+04
3.793467336683417068e-01,5.674278358719917742e+04
3.818090452261306833e-01,4.923775254018600390e+04
3.842713567839196043e-01,4.224868348330121808e+04
3.867336683417085808e-01,3.582205867072439287e+04
3.891959798994975017e-01,2.990764615013245566e+04
3.916582914572864782e-01,2.454947167825042925e+04
3.941206030150753992e-01,1.973620941091646455e+04
3.965829145728643201e-01,1.546425313786647166e+04
3.990452261306532966e-01,1.176106993529311694e+04
4.015075376884422176e-01,8.585390709717830759e+03
4.039698492462311941e-01,5.947792528740556918e+03
4.064321608040201150e-01,3.813929612943290977e+03
4.088944723618090915e-01,2.173685412724251819e+03
4.113567839195980125e-01,1.008853368574827641e+03
4.138190954773869334e-01,2.964171372183417361e+02
4.162814070351759099e-01,8.382168488816548191e+00
4.187437185929648309e-01,1.215873672733013251e+02
4.212060301507538074e-01,6.048668745107047471e+02
4.236683417085427283e-01,1.431713315093571964e+03
4.261306532663317048e-01,2.564651420484506616e+03
4.285929648241206258e-01,3.985172823406392126e+03
4.310552763819095468e-01,5.642616921742049271e+03
4.335175879396985232e-01,7.521745757775014681e+03
4.359798994974874442e-01,9.587227141349687372e+03
4.384422110552764207e-01,1.180534370357243097e+04
4.409045226130653417e-01,1.413201122752213814e+04
4.433668341708543181e-01,1.654719843956811019e+04
4.458291457286432391e-01,1.903936811612872407e+04
4.482914572864321601e-01,2.154936075418256223e+04
4.507537688442211365e-01,2.406372736857986456e+04
4.532160804020100575e-01,2.654019215322308446e+04
4.556783919597990340e-01,2.898567777286458659e+04
4.581407035175879550e-01,3.135288535455410965e+04
4.606030150753769314e-01,3.361744640382588113e+04
4.630653266331658524e-01,3.579257270893762325e+04
4.655276381909547734e-01,3.779638261564311688e+04
4.679899497487437499e-01,3.965570959363590373e+04
4.704522613065326708e-01,4.139681860522484931e+04
4.729145728643216473e-01,4.292992985494453751e+04
4.753768844221105683e-01,4.429955333552149386e+04
4.778391959798995448e-01,4.545731215427006828e+04
4.803015075376884657e-01,4.642274173250621971e+04
4.827638190954773867e-01,4.718889086380258959e+04
4.852261306532663632e-01,4.773622418008426757e+04
4.876884422110552841e-01,4.810814107530861656e+04
4.901507537688442606e-01,4.824061482708200492e+04
4.926130653266331816e-01,4.816371936581879709e+04
4.950753768844221581e-01,4.793597597817370843e+04
4.975376884422110790e-01,4.747959453992496856e+04
5.000000000000000000e-01,4.686127749366137868e+04
