q,intensity
3.842713567839196043e-01,6.194999832506050734e+04
3.867336683417085808e-01,6.869173018647880235e+04
3.891959798994975017e-01,7.477774202688479272e+04
3.916582914572864782e-01,8.012958601200056728e+04
3.941206030150753992e-01,8.458227394540171372e+04
3.965829145728643201e-01,8.812283624411976780e+04
3.990452261306532966e-01,9.057728275279754598e+04
4.015075376884422176e-01,9.200195344032454886e+04
4.039698492462311941e-01,9.239832416000271041e+04
4.064321608040201150e-01,9.173481185279546480e+04
4.088944723618090915e-01,9.009060784119582968e+04
4.113567839195980125e-01,8.749851031010478619e+04
4.138190954773869334e-01,8.401997612649315852e+04
4.162814070351759099e-01,7.982108616286433244e+04
4.187437185929648309e-01,7.491366852173840743e+04
4.212060301507538074e-01,6.949826404859709146e+04
4.236683417085427283e-01,6.364754145944280754e+04
4.261306532663317048e-01,5.748483679409964680e+04
4.285929648241206258e-01,5.115822312920344848e+04
4.310552763819095468e-01,4.481914204425372736e+04
4.335175879396985232e-01,3.855777893240613776e+04
4.359798994974874442e-01,3.248513216207078949e+04
4.384422110552764207e-01,2.672982352357243508e+04
4.409045226130653417e-01,2.136703083163913107e+04
4.433668341708543181e-01,1.649552015392312023e+04
4.458291457286432391e-01,1.218059845312160542e+04
4.482914572864321601e-01,8.470581029820161348e+03
4.507537688442211365e-01,5.429358847758463526e+03
4.532160804020100575e-01,3.058612132069946256e+03
4.556783919597990340e-01,1.366412998109684622e+03
4.581407035175879550e-01,3.544754866067393664e+02
4.606030150753769314e-01,7.122704143384721576e-01
4.630653266331658524e-01,2.719285097291329976e+02
4.655276381909547734e-01,1.125724588618998951e+03
4.679899497487437499e-01,2.502553908920425783e+03
4.704522613065326708e-01,4.345724767511139362e+03
4.729145728643216473e-01,6.574547184132155962e+03
4.753768844221105683e-01,9.112225061401191851e+03
4.778391959798995448e-01,1.189000514582971482e+04
4.803015075376884657e-01,1.480717517337864774e+04
4.827638190954773867e-01,1.781230044442599319e+04
4.852261306532663632e-01,2.080942396016805287e+04
4.876884422110552841e-01,2.369554645622499447e+04
4.901507537688442606e-01,2.645070423022699470e+04
4.926130653266331816e-01,2.900047662609084000e+04
4.950753768844221581e-01,3.124329126480014020e+04
4.975376884422110790e-01,3.316402926748851314e+04
5.000000000000000000e-01,3.474176793279143749e+04
